T1_v1_x,T1_v1_y,T1_v1_z,T1_v2_x,T1_v2_y,T1_v2_z,T1_v3_x,T1_v3_y,T1_v3_z,T1_v4_x,T1_v4_y,T1_v4_z,T2_v1_x,T2_v1_y,T2_v1_z,T2_v2_x,T2_v2_y,T2_v2_z,T2_v3_x,T2_v3_y,T2_v3_z,T2_v4_x,T2_v4_y,T2_v4_z,intersection_status
0.051272,0.548279,0.357981,0.937428,0.193243,0.993433,0.566875,0.256970,0.341965,0.128381,0.770905,0.166733,0.509632,0.502167,0.986430,0.643321,0.951244,0.068231,0.353687,0.875571,0.749659,0.955318,0.428011,0.007762,0
0.660350,0.804124,0.185840,0.274702,0.193029,0.920473,0.371120,0.421837,0.707775,0.003999,0.086632,0.569323,0.582360,0.478085,0.220479,0.629606,0.906698,0.906743,0.258617,0.153482,0.336991,0.774955,0.778745,0.017766,1
0.325280,0.257929,0.879446,0.389627,0.495191,0.605750,0.565471,0.868553,0.809352,0.921420,0.166592,0.666902,0.836020,0.497237,0.432942,0.755977,0.022079,0.695391,0.406911,0.792802,0.437615,0.286825,0.302057,0.121170,0
0.744475,0.110574,0.856323,0.593044,0.532788,0.455596,0.433034,0.029388,0.364122,0.476734,0.871919,0.374118,0.933522,0.267317,0.268899,0.985114,0.263129,0.138713,0.512193,0.213120,0.830806,0.621000,0.688341,0.932301,1
0.718843,0.404817,0.778372,0.452838,0.585002,0.873250,0.650470,0.318698,0.735888,0.214879,0.904305,0.555815,0.304464,0.578754,0.365692,0.919287,0.151941,0.479062,0.480151,0.751622,0.201441,0.272091,0.274675,0.501148,0
0.906478,0.518441,0.211719,0.097164,0.843247,0.059299,0.076153,0.574815,0.003038,0.537145,0.310686,0.780995,0.579389,0.356743,0.892886,0.690093,0.972838,0.834015,0.733149,0.132325,0.469204,0.343410,0.114020,0.733313,1
0.945454,0.427086,0.224058,0.805140,0.896404,0.053028,0.841568,0.368029,0.697438,0.938704,0.563086,0.547955,0.980173,0.229708,0.157338,0.246983,0.222597,0.929903,0.056862,0.255922,0.580950,0.614726,0.216713,0.237448,0
0.916963,0.849903,0.566459,0.723817,0.595582,0.850826,0.113341,0.991792,0.944184,0.028749,0.662669,0.019069,0.934304,0.306128,0.795878,0.580473,0.487693,0.751994,0.200474,0.898624,0.239062,0.432932,0.477394,0.952438,1
0.640248,0.699539,0.923045,0.999323,0.654838,0.250091,0.826191,0.798072,0.476561,0.658624,0.653306,0.706138,0.960312,0.615049,0.267204,0.052108,0.150637,0.597371,0.754741,0.105096,0.010331,0.607765,0.325419,0.792916,0
0.436013,0.105387,0.474623,0.895637,0.553270,0.309193,0.699810,0.947963,0.647405,0.487521,0.408553,0.248671,0.671407,0.303078,0.356534,0.922250,0.327459,0.030304,0.021964,0.376014,0.760110,0.395375,0.298904,0.421367,1
0.236013,0.666650,0.961970,0.548049,0.921374,0.930784,0.645206,0.217763,0.758123,0.987646,0.489131,0.982689,0.362884,0.014621,0.670179,0.256779,0.345831,0.897483,0.479113,0.178388,0.001516,0.413353,0.843314,0.534579,0
0.758821,0.747314,0.466492,0.581603,0.405548,0.796813,0.503425,0.531817,0.004150,0.489205,0.702435,0.802015,0.683269,0.732885,0.680783,0.977356,0.485564,0.419664,0.784857,0.062421,0.051651,0.076889,0.305575,0.518113,1
0.764553,0.766816,0.537860,0.950089,0.725996,0.785632,0.800321,0.079135,0.508098,0.716095,0.466649,0.822532,0.459928,0.729976,0.843833,0.312231,0.652222,0.466401,0.294797,0.412999,0.534830,0.780026,0.915671,0.552035,0
0.948150,0.557247,0.227367,0.012273,0.777967,0.879187,0.610770,0.353586,0.369545,0.724275,0.062295,0.489838,0.681509,0.759410,0.862393,0.224875,0.679621,0.720406,0.132943,0.100008,0.874022,0.377366,0.297691,0.699933,1
0.162583,0.900925,0.962941,0.761335,0.802733,0.012783,0.443679,0.931138,0.368704,0.699218,0.951861,0.048034,0.657290,0.761681,0.343333,0.119992,0.774521,0.645895,0.910742,0.568869,0.365047,0.410950,0.543159,0.083350,0
