T1_v1_x,T1_v1_y,T1_v1_z,T1_v2_x,T1_v2_y,T1_v2_z,T1_v3_x,T1_v3_y,T1_v3_z,T1_v4_x,T1_v4_y,T1_v4_z,T2_v1_x,T2_v1_y,T2_v1_z,T2_v2_x,T2_v2_y,T2_v2_z,T2_v3_x,T2_v3_y,T2_v3_z,T2_v4_x,T2_v4_y,T2_v4_z,intersection_status
0.765009,0.476956,0.0561315,0.349866,0.395999,0.314018,0.0565262,0.565705,0.138038,0.478065,0.879786,0.861726,0.67066,0.00383803,0.00411246,0.593945,0.0592251,0.974407,0.181563,0.420467,0.890022,0.12241,0.609399,0.853541,0
0.653354,0.719669,0.585751,0.0823785,0.164274,0.568506,0.587706,0.0224276,0.611105,0.416219,0.988864,0.812491,0.100941,0.380961,0.319073,0.931772,0.970547,0.43723,0.92974,0.874305,0.307752,0.799966,0.67254,0.856399,1
0.762202,0.38286,0.0412931,0.617696,0.993924,0.862866,0.835109,0.879036,0.196573,0.010367,0.955455,0.475444,0.232443,0.601167,0.266667,0.524095,0.439236,0.902037,0.847422,0.777552,0.987472,0.108112,0.795827,0.997742,0
0.867483,0.640366,0.482561,0.139556,0.285893,0.502057,0.185138,0.916305,0.581397,0.295376,0.216731,0.534922,0.517536,0.0608725,0.892805,0.330254,0.149042,0.163352,0.607329,0.981307,0.0764304,0.55287,0.707754,0.5721,1
0.255183,0.875172,0.944828,0.158241,0.080667,0.792722,0.850978,0.737951,0.963289,0.158535,0.181378,0.701738,0.291238,0.216986,0.387412,0.374865,0.56717,0.0980158,0.226242,0.176237,0.632495,0.536484,0.926418,0.0292207,0
0.556445,0.952652,0.602229,0.88539,0.780308,0.941791,0.753958,0.800507,0.0491379,0.462865,0.0129684,0.750631,0.128749,0.91324,0.735849,0.940507,0.155069,0.106822,0.457768,0.460054,0.0721029,0.418308,0.559025,0.839571,1
0.545452,0.842025,0.312419,0.507486,0.733278,0.340031,0.483042,0.145686,0.195303,0.865571,0.851301,0.84203,0.321368,0.344346,0.825154,0.12501,0.383325,0.382027,0.210172,0.144722,0.840626,0.555922,0.348311,0.359487,0
0.519005,0.0645289,0.668428,0.70813,0.463752,0.126335,0.101808,0.723367,0.856405,0.420678,0.0906757,0.480152,0.601937,0.129064,0.595346,0.970257,0.121849,0.887019,0.391851,0.768343,0.621561,0.019592,0.492951,0.850695,1
0.427345,0.684159,0.826315,0.80519,0.125881,0.864692,0.466655,0.0264008,0.348774,0.829176,0.65312,0.644404,0.571287,0.87817,0.550729,0.662114,0.200083,0.10098,0.606775,0.403188,0.162221,0.257013,0.367848,0.58487,0
0.33022,0.765474,0.917545,0.606426,0.246285,0.571341,0.284082,0.450114,0.259702,0.677779,0.0632953,0.974472,0.0748428,0.535196,0.0482706,0.295461,0.941987,0.994244,0.738105,0.0863587,0.456625,0.198222,0.739984,0.73191,1
0.508509,0.591489,0.2699,0.936744,0.32871,0.306037,0.104995,0.67096,0.361892,0.90616,0.123338,0.313726,0.156517,0.400613,0.844644,0.875905,0.168609,0.439047,0.757526,0.232913,0.963579,0.0674824,0.620348,0.787552,0
0.035589,0.880357,0.360264,0.509997,0.862844,0.97244,0.315102,0.106897,0.820699,0.883115,0.544414,0.703612,0.992734,0.513167,0.822923,0.250377,0.956609,0.228675,0.467688,0.940512,0.936876,0.47857,0.153321,0.950439,1
0.616682,0.846711,0.934198,0.636775,0.69025,0.391591,0.00908354,0.549075,0.646672,0.690584,0.214441,0.778171,0.981985,0.506946,0.788026,0.922024,0.0990819,0.350017,0.63575,0.211377,0.151091,0.800703,0.690495,0.308017,0
0.628787,0.693004,0.720535,0.18861,0.531981,0.796732,0.515807,0.904383,0.323638,0.639819,0.660845,0.0840214,0.699007,0.434735,0.38047,0.101997,0.089275,0.354519,0.523886,0.684672,0.355081,0.965019,0.580982,0.0173911,1
0.169796,0.739407,0.53833,0.870967,0.521949,0.740439,0.359071,0.937332,0.722057,0.689637,0.278814,0.0814697,0.438635,0.388543,0.957621,0.0381035,0.0341938,0.40597,0.715483,0.743164,0.763078,0.890951,0.64552,0.855944,0
0.359587,0.91343,0.653699,0.0422093,0.0908644,0.987153,0.481608,0.467932,0.144227,0.282848,0.736535,0.763699,0.1656,0.261606,0.998577,0.948622,0.0245743,0.187713,0.829566,0.566196,0.650852,0.329467,0.908354,0.522193,1
0.201239,0.0245062,0.659007,0.531278,0.150864,0.429545,0.0536257,0.735789,0.610279,0.0718994,0.959847,0.828111,0.563624,0.942689,0.236491,0.933559,0.756329,0.316137,0.439963,0.286099,0.60353,0.946266,0.810232,0.875062,0
